date,1. open,2. high,3. low,4. close,5. volume
2019-07-24 12:34:00,208.07,208.16,208.05,208.15,31938.0
2019-07-24 12:35:00,208.15,208.15,208.08,208.0801,15901.0
2019-07-24 12:36:00,208.085,208.105,208.05,208.06,40064.0
2019-07-24 12:37:00,208.0625,208.08,208.01,208.015,14771.0
2019-07-24 12:38:00,208.0204,208.04,207.99,208.0,16385.0
2019-07-24 12:39:00,208.0058,208.0299,207.96,208.01,22923.0
2019-07-24 12:40:00,208.01,208.05,207.94,207.96,11747.0
2019-07-24 12:41:00,207.96,208.05,207.96,208.015,40242.0
2019-07-24 12:42:00,208.01,208.1114,208.01,208.1114,12715.0
2019-07-24 12:43:00,208.115,208.22,208.11,208.18,33971.0
2019-07-24 12:44:00,208.19,208.22,208.12,208.13,15177.0
2019-07-24 12:45:00,208.135,208.18,208.11,208.17,14100.0
2019-07-24 12:46:00,208.18,208.1961,208.15,208.19,17558.0
2019-07-24 12:47:00,208.195,208.195,208.13,208.14,14106.0
2019-07-24 12:48:00,208.14,208.2,208.1131,208.17,12142.0
2019-07-24 12:49:00,208.1799,208.22,208.16,208.16,15405.0
2019-07-24 12:50:00,208.1432,208.16,208.1,208.14,14817.0
2019-07-24 12:51:00,208.125,208.16,208.12,208.15,11080.0
2019-07-24 12:52:00,208.13,208.13,208.1,208.1,9218.0
2019-07-24 12:53:00,208.11,208.12,208.05,208.07,20165.0
2019-07-24 12:54:00,208.07,208.08,208.05,208.06,10297.0
2019-07-24 12:55:00,208.065,208.0802,208.0564,208.08,5574.0
2019-07-24 12:56:00,208.08,208.179,208.08,208.1739,18968.0
2019-07-24 12:57:00,208.19,208.2098,208.15,208.185,20244.0
2019-07-24 12:58:00,208.19,208.195,208.05,208.08,29173.0
2019-07-24 12:59:00,208.0839,208.15,208.0839,208.1255,31045.0
2019-07-24 13:00:00,208.14,208.184,208.12,208.1701,21038.0
2019-07-24 13:01:00,208.185,208.1965,208.14,208.15,21798.0
2019-07-24 13:02:00,208.15,208.17,208.14,208.14,9549.0
2019-07-24 13:03:00,208.14,208.15,208.0886,208.11,26609.0
2019-07-24 13:04:00,208.11,208.11,208.02,208.03,15093.0
2019-07-24 13:05:00,208.0325,208.05,207.98,208.0385,19209.0
2019-07-24 13:06:00,208.03,208.05,207.9801,207.9801,14592.0
2019-07-24 13:07:00,207.99,208.01,207.98,208.0,13519.0
2019-07-24 13:08:00,208.0,208.03,207.9675,208.0,19591.0
2019-07-24 13:09:00,208.0,208.065,207.995,208.05,11858.0
2019-07-24 13:10:00,208.04,208.0916,208.02,208.0865,12988.0
2019-07-24 13:11:00,208.08,208.1,207.99,208.0,25638.0
2019-07-24 13:12:00,208.0,208.0655,207.94,208.0655,15456.0
2019-07-24 13:13:00,208.06,208.06,208.03,208.0367,10371.0
2019-07-24 13:14:00,208.04,208.0591,208.01,208.01,7860.0
2019-07-24 13:15:00,208.01,208.02,207.96,207.96,12458.0
2019-07-24 13:16:00,207.96,207.9901,207.95,207.99,8924.0
2019-07-24 13:17:00,207.99,207.9968,207.91,207.94,16681.0
2019-07-24 13:18:00,207.94,208.0,207.93,207.93,10560.0
2019-07-24 13:19:00,207.943,207.95,207.92,207.925,11888.0
2019-07-24 13:20:00,207.935,207.935,207.88,207.88,11800.0
2019-07-24 13:21:00,207.88,207.91,207.84,207.8785,23824.0
2019-07-24 13:22:00,207.905,207.98,207.9,207.96,15326.0
2019-07-24 13:23:00,207.97,207.9701,207.83,207.85,14387.0
2019-07-24 13:24:00,207.85,207.93,207.85,207.9,8860.0
2019-07-24 13:25:00,207.91,207.91,207.89,207.91,5583.0
2019-07-24 13:26:00,207.92,207.9208,207.89,207.91,9323.0
2019-07-24 13:27:00,207.91,207.97,207.9,207.96,14586.0
2019-07-24 13:28:00,207.9526,207.9769,207.92,207.945,11070.0
2019-07-24 13:29:00,207.95,207.97,207.9162,207.93,12691.0
2019-07-24 13:30:00,207.89,207.89,207.8,207.82,18366.0
2019-07-24 13:31:00,207.83,207.85,207.79,207.7905,32300.0
2019-07-24 13:32:00,207.81,207.82,207.75,207.7698,19244.0
2019-07-24 13:33:00,207.7948,207.8327,207.7948,207.81,12306.0
